hex,type,flight,r,t,alt_baro,gs,track,baro_rate,lat,lon,nic,rc,seen_pos,mlat,tisb,messages,seen,rssi,is_spoofed
abbd47,adsb_icao,SWA3649 ,N8557Q,B738,ground,59.5,195.64,-128,29.99184,-90.249104,7,371,1.94,[],[],9724533,1.0,-16.2,False
ab6b02,adsb_icao,AAL1786 ,N835AW,A319,ground,0.0,,,30.001439,-90.24803,8,186,3.411,[],[],7418067,2.2,-16.7,False
a9dc5e,adsb_icao,UAL2650 ,N73406,B739,ground,10.2,,,30.003022,-90.24586,8,186,0.283,[],[],8136004,0.3,-16.8,False
a29908,adsb_icao,ASA751  ,N267AK,B739,11350,352.1,309.93,1024,30.145972,-90.244666,8,186,0.142,[],[],8693245,0.1,-7.5,False
40731c,adsb_icao,BAW225Y ,G-ZBJI,B788,10375,289.4,212.15,,30.494431,-90.24283,8,186,0.063,[],[],3426641,0.0,-9.7,False
a451cf,adsb_icao,DAL599  ,N378DA,B738,35000,478.7,35.65,-2304,30.687189,-90.241589,8,186,0.063,[],[],6261889,0.0,-5.6,False
a4fda0,adsb_icao,SWA6875 ,N420WN,B737,33600,487.6,33.62,-960,42.166086,-90.235631,7,371,0.2,[],[],7471538,0.1,-11.8,False
a5ee13,adsb_icao,UAL278  ,N481UA,A320,1300,171.3,195.58,-960,30.065964,-90.225327,8,186,0.509,[],[],8663120,0.0,-5.6,False
aa777e,adsb_icao,SWA5653 ,N7737E,B737,13375,315.9,187.82,-2112,39.672958,-90.210531,7,371,0.202,[],[],7450908,0.0,-8.1,False
acb9ed,adsb_icao,AAL2029 ,N919US,A321,36025,403.6,294.91,0,33.932811,-90.197239,8,186,0.549,[],[],8175236,0.0,-7.4,False
ab8c19,adsb_icao,DAL2636 ,N843MH,B764,36000,412.3,290.59,0,35.267441,-90.187454,8,186,0.112,[],[],5455066,0.1,-6.7,False
aa7e3a,other,SWA122  ,N7752B,B737,37000,510.0,150.0,0,21.900361,-90.159353,0,0,5.758,[],[],4776165,5.5,-21.0,False
aa4300,adsb_icao,RAX007  ,N760RA,FA20,11775,406.6,297.7,-2048,44.02636,-90.152435,9,75,0.283,[],[],3392623,0.2,-5.7,False
ab2a9b,adsb_icao,N8188Y  ,N8188Y,PA30,9300,220.3,54.79,,39.231386,-90.151367,10,25,0.349,[],[],504522,0.0,-7.2,False
a924fc,adsb_icao,DAL949  ,N689DL,B752,36000,408.4,291.1,0,35.06822,-90.149632,8,186,0.303,[],[],5093500,0.1,-5.8,False
ad6eec,adsb_icao,KAP1030 ,N965CA,P212,4725,147.1,320.79,-128,38.950241,-90.133747,9,75,0.243,[],[],1015302,0.2,-10.6,False
c03bf5,adsb_icao,WJA490  ,C-FWSI,B737,39000,423.2,112.51,0,48.428991,-90.0717,8,186,0.242,[],[],5686285,0.2,-4.6,False
c07ee8,adsb_icao,WJA1591 ,C-GWBN,B737,38000,439.5,310.94,64,38.555355,-90.033569,8,186,0.104,[],[],4654118,0.0,-8.5,False
acd88e,adsb_icao,DAL984  ,N927DZ,B739,34000,428.2,288.52,-64,36.836655,-90.000858,8,186,0.243,[],[],9600886,0.1,-17.4,False
a642e3,adsb_icao,N502RP  ,N502RP,G280,43000,439.1,271.17,,40.430374,-89.985352,8,186,0.464,[],[],1938771,0.0,-4.4,False
a12c42,adsb_icao,,N175FE,B763,ground,0.0,,,35.0644,-89.983352,8,186,2.221,[],[],5185206,2.2,-20.4,False
a104c3,adsb_icao,,N165FE,B763,ground,0.0,,,35.064356,-89.981604,8,186,2.935,[],[],5333890,0.6,-16.0,False
acda02,adsb_icao,AAL2552 ,N927UW,A321,ground,0.0,,,35.043743,-89.981068,8,186,1.898,[],[],8006102,0.9,-28.4,False
